description,name,rating/average,rating/count,venue_id,venue/lat,venue/lon,venue/repinned,visibility,waitlist_count,yes_rsvp_count,how_to_find_us,duration,rsvp_limit
"<p><img src=""http://photos4.meetupstatic.com/photos/event/e/3/7/a/600_442678234.jpeg"" /></p> <p>We're having a watch party at AstroLabs for the Campus London event:</p> <p> <b>Learn@Campus: Google Tools: Entrepreneurs Edition - Mastering AdWords for Your Startup</b></p> <p>""Win the moments that matter. As consumers now live online, their smartphones rarely more than a meter away from their hands and search usage continues to accelerate. In this environment, startups have to take advantage of more audience signals than ever before.</p> <p>Via live stream, for insight into online advertising via AdWords with Google's Abhishek Agarwal. Discover best practices on how to be seen by customers at the very moment that they’re searching on Google for the things you offer.</p> <p>This session will cover the basics of search and display advertising, including concepts such as ad extensions, search auction, performance display, retargeting and YouTube ads.""</p> <p>We're going to have some light snacks and watch the stream on our 84"" smart TV. </p> <p>For detailed directions:</p> <p><a href=""http://astrolabs.com/directions"">astrolabs.com/directions</a></p>",AdWords,0,0,24081658,25.204849,55.270782,FALSE,public,0,26,Underneath Cluster R,5400000,30
"<p><a href=""http://astrolabs.com/launch"" class=""linkified"">http://astrolabs.com/launch</a></p> <p><img src=""http://photos2.meetupstatic.com/photos/event/d/f/8/4/600_443157220.jpeg"" /></p> <p>The AstroLabs Community has moved into its beautiful new home right on the park of Jumeirah Lakes Towers, and we’d like to invite you to celebrate with us. Join us at the official launch of AstroLabs Dubai on October 26th, 2015 to tour the tech hub, meet our startups, and hear from inspiring leaders including special guests from Google. We are excited to inaugurate the only Google-partnered Tech Hub in the MENA region right here in Dubai!</p> <p>RSVP <a href=""http://astrolabs.com/launch"">here</a> to join us for an evening of networking, great food, and a direct connection into the heart of the Dubai startup ecosystem.</p>",AstroLabs Public Launch,0,0,24081658,25.204849,55.270782,FALSE,public,0,61,,18000000,
"<p>The TechWadi Roadshow is coming to AstroLabs!</p> <p><img src=""http://photos1.meetupstatic.com/photos/event/9/c/c/d/600_443320141.jpeg"" /></p> <p><b><a href=""http://astrolabs.com/techwadi-roadshow-astrolabs"">RSVP by entering your email here</a>. </b></p> <p>Schedule:</p> <p><b>9:00am-10:00am</b> Coffee/Networking/Registration<br/><b>10:00- 10:30am</b> Kickoff<br/>· Welcoming Remarks &amp; Overview(Daniel Navarro, Google for Entrepreneurs &amp; Christina Ashtary, TechWadi)<br/><b>10:30am-10:45 am</b> · Silicon Valley 101(Sharif El Badawi, Google)<br/><b>10:45 – 11:30</b> Pitching a Great Startup Story (Ramy Adeeb, Entrepreneur)<br/><b>11:30 – 12:15</b> pm Redefining the web with Innovative Business Models (Marwa Mabrouk, YouTube)<br/><b>12:15 – 1:15pm</b> Lunch Break<br/><b>1:15- 2:00 pm</b> Go to Market Strategy (Sharif El Badawi, Google)<br/><b>2:00 – 2:45 pm</b> Effective Leadership (Sid Benraouane, Senior Lecturer Carlson School of Management, University of Minnesota)<br/><b>2:45 – 3:15 pm</b> Design Thinking in a Box (Olivia Vagelos, Stanford d.school)<br/><b>3:15 – 4:00</b> Investing in MENA Panel (Noor Sweid, Leap Ventures / Amira Farha, BECO Capital / Khaled Talhouni, Wamda Capital, Walid Mansour, MEVP<br/><b>4:00 – 4:15</b> Google For Entrepreneurs: Opportunities for Participants (Daniel Navarro, Google for Entrepreneurs)<br/><b>4:15 – 4:30 PM</b> TechWadi Acceleration Program – Announcing 2016 Applications<br/><b>4:30 PM – 8 PM</b> Startup Grind Event</p> <p>You can also get more info on on the <a href=""http://techwadi.org/event/techwadi-mena-roadshow-powered-by-google-for-entrepreneurs-in-dubai/"">TechWadi website</a>.</p> <p>Hope to see you there!</p>",Silicon Valley Mentors!,0,0,24081658,25.076956,55.14723,TRUE,public,0,32,,28800000,
"<p><img src=""http://photos4.meetupstatic.com/photos/event/e/3/7/a/600_442678234.jpeg"" /></p> <p>We're having a watch party at AstroLabs for the Campus London event, in which we'll be watching the live stream together in a collaborative community environment:</p> <p><b>Learn@Campus: CTO in a Box: a crash course in the essentials of tech for a startup</b></p> <p>""</p> <p>Take this evening crash course in the essentials of tech for a startup, great for those new to the community and veterans alike - some essential reminders and tips, you won't want to miss - with Mark Masterson, Google Developer Relations.</p> <p>About the speaker: Mark Masterson, Developer Relations Lead at Google</p> <p><img src=""http://photos3.meetupstatic.com/photos/event/c/3/4/3/600_442729987.jpeg"" /></p> <p>""I head up Developer Relations for Google in the UK, Ireland and the Netherlands. In previous lives, I failed as the CTO of a sexy startup, and managed not to go insane as an enterprisey architect in the financial services industry. My interests run towards things like social software, digital, mobile, cloud, etc.""</p> <p>We're going to have some light snacks and watch the stream on our 84"" smart TV. </p> <p>For detailed directions:</p> <p><a href=""http://astrolabs.com/directions"">astrolabs.com/directions</a></p>",CTO in a Box,0,0,24081658,25.077034,55.14723,TRUE,public,0,36,Underneath Cluster R,8100000,50
"<p>We're back to regular meetups, with 2 very bright speakers coming in from <a href=""http://infotrustllc.com"">Infotrust</a> to   Actionable Analytics! </p> <p><img src=""http://photos3.meetupstatic.com/photos/event/b/a/c/5/600_442967813.jpeg"" /></p> <p><b>About The Meetup</b></p> <p>Attribution has been a buzz word in digital marketing for a few years, but very few organizations do it right. Marketers know to effectively manage channel investment, looking beyond last click is critical. However, being data-driven with decision making can be difficult. Luckily Google Analytics has capabilities to provide marketers with basic analytics knowledge the ability to not only understand attribution, but also quickly drive improvements.</p> <p>With Google Analytics being the leading web analytics solution in the world, it’s powerful enough for some of the largest corporations, yet user-friendly enough that it can be learned quickly. GA is used on more than half of the top 1 million websites and is the most popular web analytics tool available (according to Quantcast + Tag Inspector scans). </p> <p>With all the reports and tracking capabilities, many analysts often get stuck with ""paralysis by analysis""- too much data and too many options for reporting. In this session, we will provide some ideas for how to get actionable insights from all your data in GA and simplify the data analysis to drive improvements. </p> <p>We're going to  :</p> <p>• What is attribution and why you should care </p> <p>• Using dashboards and automated reports for quick analysis </p> <p>Best practices for setting up a measurement strategy </p> <p>Whether you're a marketer running campaigns, a site owner focusing on user experience or a business owner looking for health of your company- GA can provide the data and insights you need to make quick data-driven decisions.</p> <p>This is a meetup you don't want to miss!</p> <p><b>About the speakers</b></p> <p>Amin Shawki: Regional Managing Director - MENA,  at InfoTrust, leads Infotrust's Dubai activities.</p> <p>Michael Loban: CMO at Infotrust, flying all the way from Cincinnati Ohio! </p>",Actionable Analytics,5,1,24081658,25.204849,55.270782,FALSE,public,0,79,,9000000,
"<p>Please register for the event here: <a href=""http://hackathon.cisco.com/event/iotwf-dubai-2015"" class=""linkified"">http://hackathon.cisco.com/event/iotwf-dubai-2015</a></p> <p><img src=""http://photos2.meetupstatic.com/photos/event/7/4/2/c/600_444689740.jpeg"" /></p> <p>All devs, designers, marketers, startupers or idea generators are invited to join us on a 2-day hack challenge on IoT: The IoT World Forum Hackathon in Dubai on December 4-5th.</p> <p>Join an exclusive IoT competition, get a chance to win up to $4,000, meet Cisco experts and show us what you got. A webinar on December 1st will give you an introduction on Cisco technologies that you guys will be able to use. On December 4th, meet the team at Cisco Offices and get new IoT skills thanks to workshops and experts mentoring.</p> <p>You can get more info and register on our website: <a href=""http://hackathon.cisco.com/event/iotwf-dubai-2015"" class=""linkified"">http://hackathon.cisco.com/event/iotwf-dubai-2015</a><br/>Got any question or query? Reach out for Constance at [masked], she'll be glad to help.</p> <p>All the best,<br/>Ahmad</p>",IoT Hackathon,0,0,24230222,25.204849,55.270782,FALSE,public,0,10,,122400000,
"<p>Positioning your business and yourself online can be difficult. Join our upcoming meetup in which we'll   how to tell your story online in a practical, streamlined way, without spending a ton of money on marketing. </p> <p><b>About the speaker</b></p> <p><img src=""http://photos3.meetupstatic.com/photos/event/e/3/1/1/600_444298129.jpeg"" /></p> <p>The main speaker for this event will be Elias Jabbe. Elias Jabbe is a longtime journalist, public speaker and former entrepreneur from Los Angeles who now uses social media and other platforms for content marketing and public relations. Before arriving in Dubai in 2015, he played an active role in two major startup ecosystems (California and France) as a journalist and social media strategist telling the stories of startup founders and their products as well as advising founders and CMOs on their marketing and growth strategies. Some of the most memorable experiences include promoting global startups at LeWeb through hybrid content marketing and creating a cross-channel partnership with a California-based Y Combinator startup using live events and online content.</p> <p>Content Portfolio: <a href=""https://mailtrack.io/trace/link/57b6e27896ea37eb03be5600c5879e65159b1bc4?url=http%3A%2F%2Fbit.ly%2FElias213Contently&amp;signature=6023fae9a95da813"">Elias213.Contently.com</a></p> <p>Article about MENA startups and entrepreneurs: <a href=""https://mailtrack.io/trace/link/18e422f5c7aab5ae2aa94b33265f0ee0f056a0fb?url=http%3A%2F%2Fbit.ly%2FTNwebdays2015&amp;signature=4711fb07ccbea9fa""><a href=""http://bit.ly/TNwebdays2015"" class=""linkified"">http://bit.ly/TNwebdays2015</a></a></p> <p><b>Agenda</b><br/>Startup founders sometimes wonder how to best tell their story with ""content marketing"" and have their voices heard.<br/>In this AstroLabs meetup I will show you how you can boost your online storytelling skills using *free* tools like Medium and Storify, while customizing your strategy to reach your goals.</p>",Online Storytelling,4.670000076,3,24081658,25.204849,55.270782,FALSE,public,0,97,We're directly under Cluster R JLT (on the park).,,
"<p>This event is organized by another meetup group based out of AstroLabs the <a href=""http://www.meetup.com/Startup-Doers-Network/events/226455564/"">Startup Doers Network</a>. </p> <p><img src=""http://photos4.meetupstatic.com/photos/event/9/2/600_443700146.jpeg"" /></p> <p>The startup scene is Dubai is growing exponentially. With so much activity happening, it's hard to keep connecting with what's happening in the ecosystem. </p> <p>Attend our first Startup Networking Speed Networking (not dating) session to meet both the startups working out of AstroLabs Dubai, and many others with startups of their own, or simply interested in startups!</p> <p>This event will be a great opportunity for startups to build their network, as well as for talented professionals to connect to startups for potential employment / collaboration opportunities. </p> <p>See you there! </p>",Startup Speed Networking!,5,1,24081658,25.204849,55.270782,FALSE,public,0,22,"We're on the park level below Cluster R, JLT",,
"<p><img src=""http://photos4.meetupstatic.com/photos/event/4/1/b/5/600_445156821.jpeg"" /></p> <p>Calling Dubai Startup Founders! You are invited to attend the two-days free workshop for Design Sprint and Material Design by Google Developers Launchpad. We have been on a tour throughout the MENA region and we're coming to Dubai at AstroLabs Dubai, the only Google Tech Hub in MENA. Apply here (<a href=""https://docs.google.com/forms/d/13OssYhjG664OxuiygtHe3mqUdXJeOYHdBMBCLSo94X4/viewform"">registration form</a>). Deadline for application:Friday Dec. 18th, 2015</p> <p><b>Workshop Facilitators</b></p> <p><img src=""https://ci6.googleusercontent.com/proxy/iUcO9Et2Ywd1EnvLQwkFsrCdQGTReAZq5Ysf7qtTBlkQJAN3KHzW9t7PEu0p2kAjfHfdd678K9jBVTf6eRsJFIbKeLr4YorBC5KBZB0k15DA3qSVMzPE-3abIUcFZEm5vtR5luKg_rvSXapIDEWA7UaUJsPEZwSg4kr1X5o=s0-d-e1-ft&#35;https://gallery.mailchimp.com/625dce77ccff68bf2085ffb6a/images/f969726e-fe95-4fc6-bc68-6ecf04c1fda6.jpg"" /></p> <p><a href=""https://developers.google.com/experts/people/bartosz-balewski"">Bartosz Balewski</a></p> <p>UX/UI Expert: User Research, Interaction Design</p> <p><img src=""https://ci5.googleusercontent.com/proxy/ag0RTS1LMLU7OcMxNBPy3ayPfl-gWto_doBiZrEOO8IRhXdYutmIbYaOZ7x-WBLf_zdoEccH1s06g3vvJGRqPMQC1OCOj4ExmecWa6UyUJaeYb-N6NEkHd2R9vcw0knMGTWtUYyYSQg9YTg8DsDzdnHBRahaTmvhunFA4PE=s0-d-e1-ft&#35;https://gallery.mailchimp.com/625dce77ccff68bf2085ffb6a/images/5f1aa498-f912-4856-8f64-70d2abc84533.jpg"" /></p> <p><a href=""https://www.linkedin.com/in/milanguenther"">Milan Guenther</a></p> <p>Design Expert / Mentor for Product Strategy and User Experience</p> <p><img src=""https://ci6.googleusercontent.com/proxy/LJEACZaYFDkhQF_IlI5fiWnae8162hkU-PS-Cd5tfTm2fTPQTRZF-bfy2Q_pY_DNA5x0uCr_9QiASCJQO6ySx0dfYBlYA5MGfP4abltc0bdkphwA5Q3hr0eWHqzxzvjo2snfAVVa8lmfau4bt3ftFZLD5yo5D1EZrWJqrcc=s0-d-e1-ft&#35;https://gallery.mailchimp.com/625dce77ccff68bf2085ffb6a/images/9cb0f0e6-a594-4165-8d53-14f995e971d6.jpg"" /></p> <p><a href=""https://www.linkedin.com/in/fightinjoe"">Aaron Wheeler</a></p> <p>UX Engineer at Google</p> <p><a href=""https://docs.google.com/forms/d/13OssYhjG664OxuiygtHe3mqUdXJeOYHdBMBCLSo94X4/viewform"">Register your team's information before Friday Dec. 18th</a></p>",Google Design Sprint,0,0,24081658,25.204849,55.270782,FALSE,public,0,23,,118800000,
"<p><img src=""http://photos2.meetupstatic.com/photos/event/4/3/5/f/600_445097247.jpeg"" /></p> <p>Learn what every digital professional needs to know about email marketing!</p> <p><b>Agenda</b></p> <p><i><b>Strategy, objectives and approach </b></i></p> <p>• Defining goals and objectives </p> <p>• Choosing the right messaging strategy </p> <p>• Types of content, types of emails, timing and frequency </p> <p>• Acquisition as well as retention via email </p> <p><b><i>Advanced segmentation and targeting </i></b><br/>Persona-based targeting<br/>Lifecycle marketing </p> <p><i><b>Reporting &amp; Analytics </b></i></p> <p>• Tracking Email Campaigns </p> <p>• Measuring Email Campaign Performance</p> <p><b>About the speakers</b></p> <p><b><i>Gaurav Oberoi </i><br/></b></p> <p><img src=""http://photos4.meetupstatic.com/photos/event/4/3/5/7/600_445097239.jpeg"" /></p> <p><b><br/></b></p> <p>Gaurav is a Digital Marketing Aficionado, with specialization in high impact, data driven Online marketing. He is a DOER, with a strong focus on ROI (being an Obe""RoI"").</p> <p>He exited his last initiative, Digital Academy India after it was acquired by a competitor. Currently head the Global Digital Marketing &amp; eCommerce at Dabur International from the Dubai headquarters. </p> <p>Having led digital delivery teams from the front as a strategist, coach or consultant, he's had the opportunity of working with some iconic brands and breakthrough startups in India. </p>",Email Marketing,4,1,24081658,25.204849,55.270782,FALSE,public,0,113,,7200000,
